#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Mycobacterium ulcerans subsp. shinshuense","Bacteria;Terrabacteria group;Actinobacteria","ATCC 33728","SAMD00056531","PRJDB5034","GCA_002355775.1","Complete",6.0663,65.5231,"chromosome:NZ_AP017624.1/AP017624.1; plasmid pShTP:NZ_AP017625.1/AP017625.1",,2,4328,"2016-08-04T23:04:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/775/GCA_002355775.1_ASM235577v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/775/GCF_002355775.1_ASM235577v1"
"Mycobacterium leprae TN","Bacteria;Terrabacteria group;Actinobacteria","TN","SAMEA1705921","PRJNA90","GCA_000195855.1","Complete",3.2682,57.8,"chromosome:NC_002677.1/AL450380.1",,1,1605,"2001-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/855/GCA_000195855.1_ASM19585v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/855/GCF_000195855.1_ASM19585v1"
"Mycobacterium liflandii 128FXT","Bacteria;Terrabacteria group;Actinobacteria","128FXT","SAMN02603618","PRJNA20227","GCA_000026445.2","Complete",6.39954,65.5196,"chromosome:NC_020133.1/CP003899.1; plasmid pMUM002:NC_011355.1/EU271968.1",,2,4615,"2013-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/445/GCA_000026445.2_ASM2644v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/445/GCF_000026445.2_ASM2644v2"
"Mycobacterium intracellulare ATCC 13950","Bacteria;Terrabacteria group;Actinobacteria","ATCC 13950","SAMN02603186","PRJNA82157","GCA_000277125.1","Complete",5.4024,68.1,"chromosome:NC_016946.1/CP003322.1",,1,5024,"2012-02-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/125/GCA_000277125.1_ASM27712v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/125/GCF_000277125.1_ASM27712v1"
"Mycobacterium kansasii ATCC 12478","Bacteria;Terrabacteria group;Actinobacteria","ATCC 12478","SAMN02603596","PRJNA30907","GCA_000157895.2","Complete",6.57723,66.1912,"chromosome:NC_022663.1/CP006835.1; plasmid pMK12478:NC_022654.1/CP006836.1",,2,5478,"2013-11-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/157/895/GCA_000157895.2_ASM15789v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/895/GCF_000157895.3_ASM15789v2"
"Mycobacterium colombiense CECT 3035","Bacteria;Terrabacteria group;Actinobacteria","CECT 3035","SAMN06760893","PRJNA383253","GCA_002105755.1","Complete",5.58164,68.1,"chromosome:NZ_CP020821.1/CP020821.1",,1,4946,"2017-04-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/105/755/GCA_002105755.1_ASM210575v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/105/755/GCF_002105755.1_ASM210575v1"
"Mycobacterium canettii CIPT 140010059","Bacteria;Terrabacteria group;Actinobacteria","CIPT 140010059","SAMEA2272660","PRJEA68135","GCA_000253375.1","Complete",4.48206,65.6,"chromosome:NC_015848.1/HE572590.1",,1,4071,"2011-07-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/375/GCA_000253375.1_ASM25337v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/375/GCF_000253375.1_ASM25337v1"
"Mycobacterium pseudoshottsii JCM 15466","Bacteria;Terrabacteria group;Actinobacteria","JCM 15466","SAMD00096819","PRJDB6390","GCA_003584745.1","Complete",6.0616,65.6,"chromosome:NZ_AP018410.1/AP018410.1",,1,4535,"2017-10-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/584/745/GCA_003584745.1_ASM358474v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/584/745/GCF_003584745.1_ASM358474v1"
"Mycobacterium haemophilum DSM 44634","Bacteria;Terrabacteria group;Actinobacteria","ATCC 29548","SAMN01918491","PRJNA171821","GCA_000340435.3","Complete",4.23576,63.9,"chromosome:NZ_CP011883.2/CP011883.2",,1,3735,"2015-06-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/435/GCA_000340435.3_ASM34043v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/435/GCF_000340435.2_ASM34043v3"
"Mycobacterium sp. JS623","Bacteria;Terrabacteria group;Actinobacteria","JS623","SAMN02261384","PRJNA60055","GCA_000328565.1","Complete",7.22177,65.1624,"chromosome:NC_019966.1/CP003078.1; plasmid pMYCSM01:NC_019957.1/CP003079.1; plasmid pMYCSM02:NC_019958.1/CP003080.1; plasmid pMYCSM03:NC_019959.1/CP003081.1",,4,6801,"2012-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/565/GCA_000328565.1_ASM32856v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/565/GCF_000328565.1_ASM32856v1"
