#Organism Name,Organism Groups,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,Host,CDS,Neighbors,Release Date,GenBank FTP,RefSeq FTP,Replicons
Bat coronavirus BM48-31/BGR/2008,Viruses;Other;Coronaviridae,,,GCA_000887595.1,Complete,0.029276,40.4, Unknown:NC_014470.1/GU190215.1,vertebrates,9,,2010-08-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/595/GCA_000887595.1_ViralProj51751,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/595/GCF_000887595.1_ViralProj51751, Unknown:NC_014470.1/GU190215.1
Sparrow coronavirus HKU17,Viruses;Other;Coronaviridae,,,GCA_000868165.1,Complete,0.026083,44.6, Unknown:NC_016992.1/JQ065045.1,vertebrates,9,,2012-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/868/165/GCA_000868165.1_ViralProj17048,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/868/165/GCF_000868165.1_ViralProj17048, Unknown:NC_016992.1/JQ065045.1
Porcine coronavirus HKU15,Viruses;Other;Coronaviridae,,,GCA_002816235.1,Complete,0.025425,43.2,NC_039208.1/JQ065043.2,vertebrates,7,111,2012-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/816/235/GCA_002816235.1_ASM281623v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/816/235/GCF_002816235.1_ASM281623v1,NC_039208.1/JQ065043.2
White-eye coronavirus HKU16,Viruses;Other;Coronaviridae,,,GCA_000896875.1,Complete,0.026041,39.8, Unknown:NC_016991.1/JQ065044.1,vertebrates,8,,2012-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/896/875/GCA_000896875.1_ViralProj109273,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/896/875/GCF_000896875.1_ViralProj109273, Unknown:NC_016991.1/JQ065044.1
Magpie-robin coronavirus HKU18,Viruses;Other;Coronaviridae,,,GCA_000894435.1,Complete,0.026689,46.7, Unknown:NC_016993.1/JQ065046.1,vertebrates,9,,2012-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/894/435/GCA_000894435.1_ViralProj109275,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/894/435/GCF_000894435.1_ViralProj109275, Unknown:NC_016993.1/JQ065046.1
Night heron coronavirus HKU19,Viruses;Other;Coronaviridae,,,GCA_000896035.1,Complete,0.026077,38.1, Unknown:NC_016994.1/JQ065047.1,vertebrates,8,,2012-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/896/035/GCA_000896035.1_ViralProj109277,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/896/035/GCF_000896035.1_ViralProj109277, Unknown:NC_016994.1/JQ065047.1
Wigeon coronavirus HKU20,Viruses;Other;Coronaviridae,,,GCA_000895415.1,Complete,0.026227,39.4, Unknown:NC_016995.1/JQ065048.1,vertebrates,10,,2012-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/895/415/GCA_000895415.1_ViralProj109279,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/895/415/GCF_000895415.1_ViralProj109279, Unknown:NC_016995.1/JQ065048.1
Common moorhen coronavirus HKU21,Viruses;Other;Coronaviridae,,,GCA_000896895.1,Complete,0.026223,35.1, Unknown:NC_016996.1/JQ065049.1,vertebrates,9,,2012-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/896/895/GCA_000896895.1_ViralProj109281,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/896/895/GCF_000896895.1_ViralProj109281, Unknown:NC_016996.1/JQ065049.1
Thrush coronavirus HKU12-600,Viruses;Other;Coronaviridae,,,GCA_000883335.1,Complete,0.026396,38, Unknown:NC_011549.1/FJ376621.1,vertebrates,9,,2008-11-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/883/335/GCA_000883335.1_ViralProj32701,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/883/335/GCF_000883335.1_ViralProj32701, Unknown:NC_011549.1/FJ376621.1
Munia coronavirus HKU13-3514,Viruses;Other;Coronaviridae,,,GCA_000880835.1,Complete,0.026552,42.5, Unknown:NC_011550.1/FJ376622.1,vertebrates,9,,2008-11-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/880/835/GCA_000880835.1_ViralProj32703,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/880/835/GCF_000880835.1_ViralProj32703, Unknown:NC_011550.1/FJ376622.1
Ferret coronavirus,Viruses;Other;Coronaviridae,,,GCA_003971885.1,Complete,0.02855,38.8,LC119077.1,vertebrates,9,,2016-07-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/971/885/GCA_003971885.1_ASM397188v1,,LC119077.1
Bat coronavirus,Viruses;Other;Coronaviridae,,PRJNA292888,GCA_002118885.1,Complete,0.029642,41.2, Unknown:NC_034440.1/KX574227.1,vertebrates,10,11,2017-04-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/118/885/GCA_002118885.1_ViralProj385635,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/118/885/GCF_002118885.1_ViralProj385635, Unknown:NC_034440.1/KX574227.1
Bulbul coronavirus HKU11-934,Viruses;Other;Coronaviridae,,,GCA_002816215.1,Complete,0.026487,38.7,NC_011547.1/FJ376619.2,vertebrates,9,1,2008-11-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/816/215/GCA_002816215.1_ASM281621v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/816/215/GCF_002816215.1_ASM281621v1,NC_011547.1/FJ376619.2
unidentified human coronavirus,Viruses;Other;Coronaviridae,,,GCA_002889935.1,Complete,0.004068,35.6,MF996621.1,human,1,,2017-12-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/889/935/GCA_002889935.1_ASM288993v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/889/935/GCF_002889935.1_ASM288993v1,MF996621.1
Porcine coronavirus HKU15,Viruses;Other;Coronaviridae,,,GCA_000895395.2,Complete,0.02543,43.1, Unknown:JQ065042.2,vertebrates,7,,2012-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/895/395/GCA_000895395.2_ViralProj109271,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/895/395/GCF_000895395.2_ViralProj109271, Unknown:JQ065042.2
Human coronavirus 229E,Viruses;Other;Coronaviridae,,,GCA_000853505.1,Complete,0.027317,38.3, Unknown:NC_002645.1/AF304460.1,"human,vertebrates",8,61,2001-01-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/853/505/GCA_000853505.1_ViralProj14913,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/853/505/GCF_000853505.1_ViralProj14913, Unknown:NC_002645.1/AF304460.1
